Player,Position,ADP_Round,ADP_Pick,ADP,VAL,Bye,Team
Jordan Mason,RB,14,8,135,-1.4,6,MIN
Tre Tucker,WR,14,9,136,-1.4,13,LV
Jacory Croskey-Merritt,RB,15,6,137,-1.5,7,WAS
Malik Willis,QB,15,9,138,-1.6,6,MIA
Chris Rodriguez Jr.,RB,16,6,139,-1.8,7,JAC
Sam Darnold,QB,16,9,140,-2,11,SEA
Tyjae Spears,RB,16,10,141,-2.1,9,TEN
C.J. Stroud,QB,17,8,142,-2.4,8,HOU
Jonah Coleman,RB,18,4,143,-2.6,10,DEN
Dylan Sampson,RB,19,4,144,-2.8,11,CLE
Keaton Mitchell,RB,20,1,145,-3.1,7,LAC
Zach Charbonnet,RB,20,3,146,-3.3,11,SEA
Alvin Kamara,RB,20,4,147,-3.3,8,NO
Mike Washington Jr.,RB,20,5,148,-3.3,13,LV
